💡📝🖥️🟢 Ah, good, we're entering 'action_check_dependancies'! Let's examine the raw materials, shall we? | main.py | 20250824.204206.2 Function: action_check_dependancies
💡📝🖥️🟢 Ahem, commencing the configuration validation experiment in 'action_check_configuration'. | main.py | 20250824.204206.2 Function: action_check_configuration
💡📝🛠️🟢 Initializing the 'MqttControllerUtility' utility class. Powering up the flux capacitor! | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.__init__
💡📝🛠️🟢 Entering 'start_mosquitto' to start the broker. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.start_mosquitto
💡📝❌🔴 Arrr, the code be capsized! The error be: [WinError 2] The system cannot find the file specified | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.start_mosquitto
💡📝🛠️🟢 Entering 'connect_mqtt' to connect MQTT client. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.connect_mqtt
💡📝🖥️🟢 The final step! Activating the main display in 'action_open_display'! | main.py | 20250824.204206.2 Function: action_open_display
💡📝🖥️ 🟢 The grand orchestrator is waking up! Let's get this GUI built! | gui_display.py | 20250822.230500.2 Function: Application.__init__
💡📝🛠️🟢 Initializing the 'MqttControllerUtility' utility class. Powering up the flux capacitor! | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.__init__
💡📝🛠️🟢 Entering 'connect_mqtt' to connect MQTT client. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.connect_mqtt
💡📝Entering _create_widgets. Creating simplified widgets for the Connection Tab. 🛠️ | gui_connection.py | 20250824.204206.1 Function: _create_widgets
💡📝❌🔴 Arrr, the code be capsized! The error be: Layout Dark.TLabel.Value not found | gui_display.py | 20250822.230500.2 Function: Application._build_child_container
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝Initializing AmplitudeSettingsTab. Setting up the GUI and its logic. 💻 | gui_amplitude.py | 20250824.204206.1 Function: __init__
💡📝Entering _create_widgets. The mad scientist is preparing the amplitude controls! 🔊🧪 | gui_amplitude.py | 20250824.204206.1 Function: _create_widgets
💡📝Entering _update_descriptions. Seeking the closest preset for a value of 0.0... | gui_amplitude.py | 20250824.204206.1 Function: _update_descriptions
💡📝Entering _find_closest_preset_value. Finding closest preset for value: 0.0 | gui_amplitude.py | 20250824.204206.1 Function: _find_closest_preset_value
💡📝Found a description! ' General purpose level, standard for most signals. ' | gui_amplitude.py | 20250824.204206.1 Function: _update_descriptions
💡📝Entering _update_descriptions. Seeking the closest preset for a value of 10.0... | gui_amplitude.py | 20250824.204206.1 Function: _update_descriptions
💡📝Entering _find_closest_preset_value. Finding closest preset for value: 10.0 | gui_amplitude.py | 20250824.204206.1 Function: _find_closest_preset_value
💡📝Found a description! ' Standard 10 dB attenuation. ' | gui_amplitude.py | 20250824.204206.1 Function: _update_descriptions
💡📝Widgets for Amplitude Settings Tab created. The amplitude controls are ready! 📉� | gui_amplitude.py | 20250824.204206.1 Function: _create_widgets
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: MqttControllerUtility.add_subscriber
💡📝Initializing MarkerSettingsTab. This should be a walk in the park! 🚶‍♀️ | gui_markers.py | 20250824.204206.1 Function: __init__
💡📝Creating widgets for MarkerSettingsTab. The puzzle pieces are coming together! 🧩 | gui_markers.py | 20250824.204206.1 Function: _create_widgets
💡📝🛠️🟢 New subscriber added for topic filter: 'conductor/test/#'. | mqtt_controller_util.py | 20250823.123548.2 Function: add_subscriber
